lr,grid,group,exp_id,dataset,eps_end,eps_num,n_iters,project,verbose,exp_name,n_hidden,n_trials,eps_start,grid_size,min_iters,modelname,n_classes,batch_size,data_shape,grid_limit,constraints,log_metrics,lr_scheduler,weight_decay,batch_balance,stop_at_tr_err,model_load_path,pred_batch_size,imbalance_method,log_metrics_every,name,test.auc,test.auc_diff,test.bal_err_rate,_step,test.lambda,train.precision_total,test.best,train.dp,train.auc,test.recall_total,train.best,train.lambda,train.auc_diff,test.model_id,test.dp,test.overall_sel_rate,_runtime,test.eps,train.dpr,train.model_id,test.fpr,test.bal_err_diff,train.fpr,train.eps,test.acc,train.fnr,test.fnr,train.bal_err_rate,train.overall_sel_rate,train.eo,test.eo,test.f1_total,train.f1_total,train.acc,train.recall_total,train.bal_loss,train.bal_err_diff,test.precision_total,_timestamp,test.bal_loss,test.dpr,train.err,test.err,train.err_level,test.err_level
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758474616781231,0.058357429646670234,0.11320786940185967,0,"[0, 0, 0, 0, 2, 0, 0, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999918180387,0.953211101092075,False,"[0, 0, 0, 0, 2, 0, 0, 0]",1.3118783170895654e-08,f93b10cb,0.18868033919029253,0.12573890391744313,1917,0.005,0.08387021026760408,f93b10cb,0.03237686265160726,0.2797345077422968,5.584330368984629e-05,0.005,0.953211101092075,0.0005461553587004199,0.5918458781362007,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.5918458781362007,0.953211101092075,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.953211101092075,1649845943,0.0002851160760400876,0.050239163968963156,5.529274436322229e-05,0.046788898907925036,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758334253156877,0.058434794293272474,0.11504435142879732,1,"[0, 0, 0, 0, 1.3333333333333333, 0, 0.6666666666666666, 0]",0.9999508508938993,False,0.2217783448039575,0.9999999915205128,0.9530608155495441,False,"[0, 0, 0, 0, 1.3333333333333333, 0, 0.6666666666666666, 0]",1.372895908069438e-08,f93b10cb,0.18797401995785495,0.12478709548141469,3842,0.005,0.0838738760838665,f93b10cb,0.032027977149603,0.28364998991982215,4.188247776738472e-05,0.005,0.9530608155495441,0.0005461553587004199,0.5993279569892473,0.00011385065322722099,0.14907538244148186,0.0005461553587005064,0.5993279569892473,0.9530608155495441,0.9999508508938993,0.9999508508938993,0.9999508508938993,0.00028204425690879807,0.00025213644046662154,0.9530608155495441,1649847868,0.00028204425690879807,0.04792480462206384,4.914910610065437e-05,0.04693918445045586,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758873219055035,0.05810686353117955,0.11387305392135993,2,"[0, 0, 0, 0, 1.3333333333333333, 0, 0, 0]",0.9999508508938993,False,0.2217783448039575,0.9999999915205127,0.9531610059112313,False,"[0, 0, 0, 0, 1.3333333333333333, 0, 0, 0]",1.372895908069438e-08,f93b10cb,0.18874258147577083,0.12538823765153792,5682,0.005,0.0838738760838665,f93b10cb,0.03230480548471489,0.28492286607484685,4.188247776738472e-05,0.005,0.9531610059112313,0.0005461553587004199,0.6021505376344086,0.00011385065322722099,0.14907538244148186,0.0005461553587005064,0.6021505376344085,0.9531610059112313,0.9999508508938993,0.9999508508938993,0.9999508508938993,0.00028204425690879807,0.00025213644046662154,0.9531610059112313,1649849708,0.00028204425690879807,0.04836130286794344,4.914910610065437e-05,0.04683899408876868,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.975882031109446,0.058284150557521675,0.11209436868092082,3,"[0, 0, 0.6666666666666666, 0, 1.3333333333333333, 0, 0, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999921155646,0.953211101092075,False,"[0, 0, 0.6666666666666666, 0, 1.3333333333333333, 0, 0, 0]",1.2508607150074624e-08,f93b10cb,0.19024601684034304,0.1264402364492536,7520,0.005,0.08387021026760408,f93b10cb,0.03332866132581247,0.2836492894087783,5.584330368984629e-05,0.005,0.953211101092075,0.0005461553587004199,0.6006272401433691,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.6006272401433691,0.953211101092075,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.953211101092075,1649851546,0.0002851160760400876,0.04861454951258425,5.529274436322229e-05,0.046788898907925036,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758601943536451,0.05828733586154067,0.11500087347023213,4,"[0, 0, 0, 0, 0.6666666666666666, 0, 1.3333333333333333, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999918180387,0.9528604348261698,False,"[0, 0, 0, 0, 0.6666666666666666, 0, 1.3333333333333333, 0]",1.3118782948851049e-08,f93b10cb,0.18825266557799997,0.1250876665664763,8852,0.005,0.08387021026760408,f93b10cb,0.03230480548471489,0.283713188655492,5.584330368984629e-05,0.005,0.9528604348261698,0.0005461553587004199,0.599731182795699,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.5997311827956988,0.9528604348261698,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.9528604348261698,1649852878,0.0002851160760400876,0.048481058467286266,5.529274436322229e-05,0.04713956517383022,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758467337862631,0.05812748947374302,0.10980957045254447,5,"[0, 0, 0, 0, 0.6666666666666666, 0, 0.6666666666666666, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999918180387,0.9533112914537621,False,"[0, 0, 0, 0, 0.6666666666666666, 0, 0.6666666666666666, 0]",1.7274285335489026e-09,f93b10cb,0.19089009378730232,0.12774271115118727,10188,0.005,0.08387021026760408,f93b10cb,0.03385198957881886,0.27429264320342206,5.584330368984629e-05,0.005,0.9533112914537621,0.0005461553587004199,0.5824372759856631,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.5824372759856631,0.9533112914537621,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.9533112914537621,1649854214,0.0002851160760400876,0.05274271531074093,5.529274436322229e-05,0.046688708546237856,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758684944936611,0.058166076741918316,0.106874167269984,6,"[0, 0, 0, 0, 0.6666666666666666, 0, 0, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999913717499,0.953712052900511,False,"[0, 0, 0, 0, 0.6666666666666666, 0, 0, 0]",2.642692620291598e-09,f93b10cb,0.19237925184476515,0.12904518585312094,11489,0.005,0.08387021026760408,f93b10cb,0.03430326066493288,0.27451503633420027,5.584330368984629e-05,0.005,0.953712052900511,0.0005461553587004199,0.5833333333333333,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.5833333333333333,0.953712052900511,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.953712052900511,1649855515,0.0002851160760400876,0.05416752414980384,5.529274436322229e-05,0.046287947099489024,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758491673351685,0.05817991662819744,0.11489959872516797,7,"[0, 0, 0.6666666666666666, 0, 0.6666666666666666, 0, 0, 0]",0.9999447072556368,False,0.22178892580682497,0.999999990925461,0.9527602444644825,False,"[0, 0, 0.6666666666666666, 0, 0.6666666666666666, 0, 0, 0]",3.557956373967386e-09,f93b10cb,0.18857927617651388,0.1252880472898507,12811,0.005,0.08387021026760408,f93b10cb,0.03261196223704417,0.28376122318255315,5.584330368984629e-05,0.005,0.9527602444644825,0.0005461553587004199,0.6001344086021506,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.6001344086021505,0.9527602444644825,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.9527602444644825,1649856837,0.0002851160760400876,0.04840115561031505,5.529274436322229e-05,0.047239755535517514,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9759577970472362,0.05771929242849971,0.10694654362179867,8,"[0, 0, 1.3333333333333333, 0, 0.6666666666666666, 0, 0, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999918180386,0.9538623384430418,False,"[0, 0, 1.3333333333333333, 0, 0.6666666666666666, 0, 0, 0]",1.3118783170895654e-08,f93b10cb,0.19218225887424864,0.1287947099489029,14121,0.005,0.08387021026760408,f93b10cb,0.034363917499367645,0.2713037043327534,5.584330368984629e-05,0.005,0.9538623384430418,0.0005461553587004199,0.5769713261648746,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.5769713261648746,0.9538623384430418,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.9538623384430418,1649858147,0.0002851160760400876,0.05361635527425698,5.529274436322229e-05,0.0461376615569582,<0.01,<0.06
1e-08,,percy:grid:eo:celeba_224,3ss3tjyb,celeba_224,0.01,5,2000,fairness_gen,True,celeba_224:rn18:-1:256:1e-08,-1,5,0.005,20,1280,rn18,2,256,"[32, 32]",2,EO,True,none,5e-05,False,1e-08,/shared/zjiayao/models/fairness/0xac48ae.pth,256,none,,celeba_224:rn18:-1:256:1e-08,0.9758470597079915,0.05828377957253672,0.11247030853054496,9,"[0, 0, 0, 0, 0, 0, 2, 0]",0.9999447072556368,False,0.22178892580682497,0.9999999919668017,0.9531109107303878,False,"[0, 0, 0, 0, 0, 0, 2, 0]",1.281369521599629e-08,f93b10cb,0.18987144126346017,0.12634004608756638,15429,0.005,0.08387021026760408,f93b10cb,0.03309356174037557,0.28336361339504523,5.584330368984629e-05,0.005,0.9531109107303878,0.0005461553587004199,0.5998207885304659,0.00011746068333495785,0.14908152607974443,0.0005461553587005064,0.5998207885304659,0.9531109107303878,0.9999447072556368,0.9999447072556368,0.9999447072556368,0.0002851160760400876,0.000245156027505411,0.9531109107303878,1649859455,0.0002851160760400876,0.04932316387833324,5.529274436322229e-05,0.046889089269612216,<0.01,<0.06
