lr,d0f,d0m,d1f,d1m,grid,dummy,group,drw_ep,exp_id,dataset,n_iters,project,use_drw,verbose,drw_beta,exp_name,n_hidden,n_trials,grid_size,loss_type,min_iters,modelname,n_classes,save_path,batch_size,constraint,data_label,data_shape,grid_limit,log_metrics,lr_scheduler,weight_decay,batch_balance,normed_linear,violation_eps,drw_label_only,model_train_ly,stop_at_tr_err,data_label_name,model_load_path,pred_batch_size,imbalance_method,log_metrics_every,name,train_fpr,test_eps,test_precision_total,train_acc_1.0_female,test_acc_1.0_male,train_recall_total,train_best,_step,test_acc_1.0_female,test_bal_loss,train_auc,test_auc,train_eps,train_lambda,train_acc,train_acc_0.0_female,train_bal_loss,test_best,test_acc_cls_0,train_model_id,test_lambda,train_fnr,test_acc,train_eo,test_cls_avg_acc,train_cls_avg_acc,test_bal_err_rate,test_dp,_runtime,test_balloss_cls_eo,test_f1_total,train_balloss_cls_dp,test_fpr,train_acc_0.0_male,test_overall_sel_rate,test_acc_0.0_male,test_model_id,test_fnr,train_acc_cls_0,train_f1_total,train_dp,train_dpr,test_eo,train_acc_cls_1,train_subgrp_avg_acc,test_recall_total,train_bal_err_rate,test_dpr,train_acc_1.0_male,train_overall_sel_rate,train_precision_total,train_balloss_cls_eo,test_balloss_cls_dp,test_acc_cls_1,_timestamp,test_subgrp_avg_acc,test_acc_0.0_female,sweep_id,alpha,max_m
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,20,best:grid:eo:celeba_224,0,8zd91r3j,celeba_224,8000,fairness_gen,0,True,0.9999,efficient-sweep-21,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,efficient-sweep-21,0.066091130695976,0.01,0.9390341649133354,0.9124562937062937,0.6111111111111112,0.9386434846716225,True,0.0,0.9125,,0.9762607117192849,0.9736191456852743,0.01,,0.9386434846716225,0.912256209077329,,True,0.9462489885562363,ed579b50,,0.09342240762121799,0.9390341649133354,0.093422407621218,0.9191771258570656,0.9256419674202505,0.08082287414293443,0.21307826731913287,3796.0,0.19110588151591162,0.9390341649133354,0.16195226386462083,0.05807285872304456,0.978347339773305,0.1654643823264202,0.9790311877903118,ed579b50,0.30138888888888893,0.9441672743550681,0.9386434846716225,0.24954649514949218,0.13171380199972915,0.3013888888888888,0.9071166604854329,0.9055234321605008,0.9390341649133354,0.07435803257974949,0.14017478093659946,0.8190338860850757,0.18274866375867788,0.9386434846716225,0.08389022010048375,0.14695057073103365,0.8921052631578947,1652439005.0,0.8559001569921726,0.9209583290672674,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,19,best:grid:eo:celeba_224,0,4f97zhu5,celeba_224,8000,fairness_gen,0,True,0.9999,eager-sweep-20,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,eager-sweep-20,0.03939209347360373,0.01,0.9432922552850416,0.8225087412587413,0.5333333333333333,0.9421269275665048,True,0.0,0.8165322580645161,,0.9742987389769869,0.9722943716359447,0.01,,0.9421269275665048,0.9453852489913304,,True,0.9657265056062883,e905da8d,,0.13180939014122142,0.9432922552850416,0.1318093901412215,0.88154746332946,0.8896900860811687,0.11845253667054001,0.17512583001400053,4463.0,0.2008257307008614,0.9432922552850415,0.16093948735617325,0.031562302782910834,0.9847773424649341,0.13595832080953812,0.9835434638354347,e905da8d,0.2831989247311828,0.9644051031385602,0.9421269275665048,0.21156906079351526,0.12035632543511805,0.2831989247311828,0.8149750690237771,0.8608426709581315,0.9432922552850416,0.11030991391883127,0.14002965509965332,0.6906993511175198,0.15179087055354182,0.9421269275665048,0.12105965203002639,0.14678918334227026,0.7973684210526316,1652435317.0,0.821347554071452,0.9519811610525238,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,18,best:grid:eo:celeba_224,0,75fwvbia,celeba_224,8000,fairness_gen,0,True,0.9999,bumbling-sweep-19,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,bumbling-sweep-19,0.05761281175821852,0.01,0.9394349263600842,0.8899475524475524,0.5888888888888889,0.939380721263132,True,0.0,0.8911290322580645,,0.9760288706379163,0.9729361223831744,0.01,,0.939380721263132,0.9210934118862472,,True,0.9500057796786499,b689c607,,0.08677523810003981,0.9394349263600842,0.08677523810003984,0.9103412357039866,0.9169493487450495,0.08965876429601338,0.2041729954525877,4406.0,0.1959494538325945,0.9394349263600842,0.16056201958762498,0.05165289534134722,0.9787062236444657,0.15935277026350064,0.979163901791639,b689c607,0.3022401433691756,0.9489108539165216,0.939380721263132,0.23807338792029947,0.13507811874530706,0.3022401433691756,0.8849878435735773,0.8982298755814444,0.9394349263600842,0.08305065125495048,0.14307516267723036,0.8031723143475126,0.17541315967315843,0.939380721263132,0.08491294467749516,0.14691587987430055,0.8706766917293233,1652435191.0,0.8466732073472211,0.9275110064502918,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,17,best:grid:eo:celeba_224,0,z8loc8jd,celeba_224,8000,fairness_gen,0,True,0.9999,feasible-sweep-18,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,feasible-sweep-18,0.07126831721100661,0.01,0.9351267408075343,0.9133741258741259,0.6388888888888888,0.9343859433556552,True,0.0,0.9137096774193548,,0.9758997180805845,0.9748011877456907,0.01,,0.9343859433556552,0.9047313239051222,,True,0.9412784649173506,36e18728,,0.10731788939251087,0.9351267408075343,0.10731788939251097,0.9181956234361188,0.923191198803068,0.08180437656388118,0.21547185944356287,4479.0,0.17831258254717358,0.9351267408075343,0.16512217805536786,0.062176027247745735,0.9759996411161288,0.17017332932571885,0.9763769077637691,36e18728,0.27482078853046593,0.9391421124452178,0.9343859433556552,0.2534355549138037,0.13599520743998716,0.274820788530466,0.9072402851609181,0.900040331844248,0.9351267408075343,0.07680880119693201,0.14984411642870027,0.806056236481615,0.18704306690422068,0.9343859433556552,0.09206334529472149,0.148638118003722,0.8951127819548872,1652430837.0,0.860794088647009,0.9142008805160233,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,16,best:grid:eo:celeba_224,0,nx58i386,celeba_224,8000,fairness_gen,0,True,0.9999,smooth-sweep-17,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,smooth-sweep-17,0.09903952766007854,0.01,0.9188458070333634,0.9213723776223777,0.6777777777777778,0.9201941389690975,True,0.0,0.917741935483871,,0.9705981835002692,0.9688333762101473,0.01,,0.9201941389690975,0.8732217397981265,,True,0.9215119639348053,70a6e91e,,0.1052224136714043,0.9188458070333634,0.10522241367140439,0.9115078616666508,0.9181998635016182,0.08849213833334924,0.22872861956061982,4416.0,0.1642281480197212,0.9188458070333634,0.17859291493767235,0.08097002561813682,0.972261267458205,0.18815749924857228,0.9672196416721964,70a6e91e,0.2399641577060932,0.9210414214854552,0.9201941389690975,0.2753856933769629,0.13711204511095468,0.23996415770609314,0.9153583055177813,0.8957513372074206,0.9188458070333634,0.0818001364983818,0.17294378395072005,0.8161499639509733,0.20365546476623456,0.9201941389690975,0.0935112750848931,0.15861037894698454,0.9015037593984963,1652430764.0,0.8622472427469763,0.8862496160540596,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,15,best:grid:eo:celeba_224,0,bzleiqmd,celeba_224,8000,fairness_gen,0,True,0.9999,dainty-sweep-16,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,dainty-sweep-16,0.06597628049204116,0.01,0.9241058010219417,0.864423076923077,0.6388888888888888,0.9236775818639799,True,0.0,0.8637096774193549,,0.9676720555738831,0.9648159780737242,0.01,,0.9236775818639799,0.9030699856203493,,True,0.9357299734134782,d9b5022b,,0.08648508124896012,0.9241058010219417,0.08648508124896015,0.892113107007491,0.8972027747389701,0.10788689299250898,0.19670650359914615,4462.0,0.16635384076148751,0.9241058010219417,0.16970022194915438,0.05366727565820444,0.9690462661123904,0.168770664262098,0.9660252156602521,d9b5022b,0.22482078853046594,0.9349255972794813,0.9236775818639799,0.2366032186372789,0.16316254667899435,0.22482078853046605,0.8594799521984589,0.8786193310824835,0.9241058010219417,0.10279722526102986,0.19644277865952545,0.7779379956741168,0.18351047490323769,0.9236775818639799,0.094641153254995,0.15229669829582757,0.8484962406015037,1652426331.0,0.8452454304926359,0.9123579400020477,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,14,best:grid:eo:celeba_224,0,g44cqlog,celeba_224,8000,fairness_gen,0,True,0.9999,stellar-sweep-15,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,stellar-sweep-15,0.0440887780214495,0.01,0.9483518685502454,0.8286276223776223,0.38333333333333336,0.94621244701112,True,0.0,0.8330645161290322,,0.9774813407463248,0.9749956326488398,0.01,,0.94621244701112,0.9477167069203815,,True,0.9707548260316726,b6d6be6e,,0.21867809101496916,0.9483518685502454,0.21867809101496916,0.8866932024895205,0.8925665904120068,0.11330679751047945,0.18881332241032905,4473.0,0.2815189901530891,0.9483518685502454,0.16362144083093053,0.03817132960419717,0.9918054849418309,0.1323013726079551,0.9923025879230258,b6d6be6e,0.44973118279569896,0.9690042814957077,0.94621244701112,0.21980947207386786,0.08500821898215384,0.44973118279569885,0.8161288993283059,0.844524836400622,0.9483518685502454,0.10743340958799319,0.08019221974570404,0.6099495313626532,0.14804939485163113,0.94621244701112,0.16305575030148117,0.15106005996040425,0.8026315789473685,1652426340.0,0.790707923926055,0.9541312583188287,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,13,best:grid:eo:celeba_224,0,2ua3ctjb,celeba_224,8000,fairness_gen,0,True,0.9999,fancy-sweep-14,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,fancy-sweep-14,0.06694976282530823,0.01,0.9268109407874963,0.9277972027972028,0.7277777777777777,0.9239356146710082,True,0.0,0.9306451612903226,,0.9724971017343298,0.9707816602539756,0.01,,0.9239356146710082,0.8915243825824736,,True,0.9283319847416484,421ccf88,,0.05901565989886104,0.9268109407874963,0.06694976282530823,0.9226246389873656,0.9241370699812862,0.07737536101263442,0.2110327705474289,4690.0,0.14012137226258964,0.9268109407874963,0.1621779653949737,0.05830904534852508,0.9584741454077818,0.18430017032361487,0.9612475116124751,421ccf88,0.2028673835125448,0.9238500249092078,0.9239356146710082,0.24849300077123357,0.190122594320694,0.20286738351254485,0.9244241150533646,0.91164431842145,0.9268109407874963,0.0758629300187138,0.20622901078182998,0.8687815428983418,0.2026171898998587,0.9239356146710082,0.07140634642201102,0.14420406578003164,0.9169172932330827,1652421852.0,0.8806522292361314,0.90293846626395,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,12,best:grid:eo:celeba_224,0,cbuvqs4x,celeba_224,8000,fairness_gen,0,True,0.9999,icy-sweep-13,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,icy-sweep-13,0.062446870173449805,0.01,0.9373309287646528,0.8979458041958042,0.5833333333333334,0.9368188241076365,True,0.0,0.8943548387096775,,0.973903169113464,0.9699215419487337,0.01,,0.9368188241076365,0.9142107247064737,,True,0.947173737140215,f8ffb889,,0.07314407384252372,0.9373309287646528,0.07314407384252375,0.9102410039084534,0.9190637057569548,0.08975899609154658,0.20346378689113542,4693.0,0.20039025073394534,0.9373309287646528,0.16185797398064056,0.050557199741366,0.9766575948799234,0.1621581003907424,0.9757133377571334,f8ffb889,0.3110215053763441,0.9443622159808813,0.9368188241076365,0.24277965371823595,0.1403198841042801,0.3110215053763441,0.8937651955330284,0.9034039635338704,0.9373309287646528,0.08093629424304516,0.15502848489123922,0.8248017303532804,0.18059224672851262,0.9368188241076365,0.07704018404278445,0.146611391491341,0.8733082706766917,1652421850.0,0.844639411953978,0.9251561380157673,23ciefe2,,
0.0001,0,0.0,0,0.0,./configs/lambdas/celeba/grid_eo_20/grid_8.csv,11,best:grid:eo:celeba_224,0,o01b30kx,celeba_224,8000,fairness_gen,0,True,0.9999,jumping-sweep-12,-1,1,20,standard,8000,rn18,2,/shared/zjiayao/cache/fairness/model_checkpoints,128,eo,Blond_Hair,"[32, 32]",2,False,none,5e-05,False,1,0.01,0,,1e-10,blond,,128,none,,jumping-sweep-12,0.05557178906975453,0.01,0.9373309287646528,0.9018356643356643,0.6222222222222222,0.9358849910917245,True,0.0,0.8951612903225806,,0.9750266299114041,0.9719573794328614,0.01,,0.9358849910917245,0.9157324547320219,,True,0.946653566061727,8ab5bd60,,0.07126608971417911,0.9373309287646528,0.07126608971417914,0.9116726476925177,0.9201634071804943,0.08832735230748234,0.1992292370885491,4621.0,0.18063321020392037,0.9373309287646528,0.15852142664316435,0.046776678289615875,0.9713042438017765,0.16305981364592725,0.9730590577305905,8ab5bd60,0.2729390681003584,0.942564420987271,0.9358849910917245,0.23720626046682297,0.15942532919163954,0.2729390681003584,0.8977623933737174,0.904860484372737,0.9373309287646528,0.07983659281950573,0.17008147393759837,0.8305695746214852,0.18271794556736498,0.9358849910917245,0.07555134126684243,0.14377829469801573,0.8766917293233083,1652417148.0,0.854181237429092,0.9262823794409747,23ciefe2,,
