sign,event,group_id,0
+,label=0.0,Female,0.0
+,label=0.0,Male,0.0
+,label=1.0,Female,0.0
+,label=1.0,Male,0.0
-,label=0.0,Female,0.0
-,label=0.0,Male,2.142857142857143
-,label=1.0,Female,0.0
-,label=1.0,Male,1.4285714285714286
