sign,event,group_id,0
+,label=0.0,female,0.0
+,label=0.0,male,0.0
+,label=1.0,female,2.0
+,label=1.0,male,0.0
-,label=0.0,female,0.0
-,label=0.0,male,0.0
-,label=1.0,female,0.0
-,label=1.0,male,0.0
